council,KFC Count,McDonald's Count,Hungry Jack's Count,Obesity Rate
Albury,0,0,0,34.8
Alpine,0,0,0,34.1
Ararat,1,1,1,32.6
Ballarat,5,6,3,33.8
Banyule,2,3,1,22.9
Bass Coast,1,1,0,31.0
Baw Baw,4,4,1,32.7
Bayside,1,1,0,17.7
Benalla,1,1,0,31.2
Boroondara,3,3,0,14.5
Brimbank,11,11,9,27.4
Buloke,0,0,0,32.4
Campaspe,1,1,0,33.0
Cardinia,5,7,2,32.4
Casey,13,10,5,32.2
Central Goldfields,0,0,0,36.1
Colac Otway,1,1,0,31.3
Corangamite,0,0,0,33.3
Darebin,8,5,2,23.9
East Gippsland,2,3,1,33.9
Frankston,9,13,4,30.8
Gannawarra,1,1,0,32.4
Glen Eira,4,5,2,18.6
Glenelg,1,1,0,32.5
Golden Plains,1,2,0,35.4
Greater Bendigo,5,4,2,34.2
Greater Dandenong,9,8,3,26.3
Greater Geelong,8,12,3,29.2
Greater Shepparton,6,6,2,34.4
Hepburn,0,0,0,33.3
Hindmarsh,0,0,0,33.0
Hobsons Bay,1,1,1,24.9
Horsham,1,1,1,32.2
Hume,7,8,6,33.3
Indigo,0,0,0,32.7
Kingston,4,5,2,24.8
Knox,6,6,3,24.5
Latrobe,2,2,0,33.8
Loddon,1,1,0,34.8
Macedon Ranges,7,6,1,29.6
Manningham,5,6,2,19.1
Mansfield,1,1,0,33.9
Maribyrnong,5,4,1,21.9
Maroondah,2,3,2,26.3
Melbourne,9,11,7,15.3
Melton,10,8,6,35.6
Mildura,2,2,1,35.6
Mitchell,0,0,0,33.6
Moira,2,1,0,34.6
Monash,4,8,3,19.7
Moonee Valley,3,3,1,24.4
Moorabool,0,1,0,35.1
Moreland,0,5,1,24.2
Mornington Peninsula,3,3,1,27.4
Mount Alexander,2,1,0,32.1
Moyne,1,2,1,34.3
Murrindindi,1,2,0,32.7
Nillumbik,2,5,1,22.8
Northern Grampians,3,3,2,33.5
Port Phillip,3,6,1,17.4
Pyrenees,0,0,0,35.6
South Gippsland,0,0,0,31.2
Southern Grampians,1,1,1,29.3
Stonnington,1,0,0,15.5
Strathbogie,1,0,0,35.1
Surf Coast,0,1,0,27.3
Swan Hill,0,0,0,33.0
Towong,0,0,0,32.9
Wangaratta,2,2,2,32.6
Warrnambool,0,0,0,32.5
Wellington,2,3,3,34.8
West Wimmera,0,0,0,33.0
Whitehorse,1,2,1,19.5
Whittlesea,11,11,7,30.8
Wodonga,2,1,0,34.8
Wyndham,5,5,2,31.5
Yarra,4,4,2,16.3
Yarra Ranges,3,4,2,27.1
Yarriambiack,1,0,0,33.0
